Product_ID,Category,Product_Name ,Brand,Brand_ID,Supplier_Name,Supplier_ID,Price,Cost,Gross_Margin_Percent,Stock_Quantity,Reorder_Level,Units_Sold,Rating
34,Tablet,Xiaomi Redmi Pad Pro,Xiaomi,8,Xiaomi Global Distribution,8,280,213,23.93%,55,19,30,4.8
35,Monitor,Samsung Odyssey G5,Samsung,2,Samsung Electronics Distribution,2,280,221,21.07%,66,33,22,4.2
36,Monitor,Dell UltraSharp U2723QE,Dell,5,Dell Technologies Supply,5,550,341,38.00%,91,32,41,4.5
37,Monitor,ASUS TUF Gaming VG27,ASUS,6,ASUS Global Distribution,6,200,138,31.00%,20,5,36,4.1
38,Monitor,Acer Nitro XV272U,Acer,7,Acer Authorized Distribution,7,250,188,24.80%,22,7,37,3.7
39,Monitor,HP E27 G5,HP,4,HP Distribution Network,4,270,213,21.11%,33,16,49,4.1
40,Monitor,Microsoft Surface Display,Microsoft,9,Microsoft Hardware Partners,9,1599,1231,23.01%,59,24,53,4
41,Monitor,Samsung Smart Monitor M8,Samsung,2,Samsung Electronics Distribution,2,600,438,27.00%,80,38,48,5
42,Keyboard,Logitech MX Keys S,Logitech,10,Logitech Authorized Distribution,10,110,75,31.82%,466,207,58,3.7
43,Keyboard,Apple Magic Keyboard,Apple,1,Apple Distribution,1,99,60,39.39%,114,53,44,3.5
44,Keyboard,Microsoft Surface Keyboard,Microsoft,9,Microsoft Hardware Partners,9,100,68,32.00%,173,66,44,3.6
45,Keyboard,Logitech G Pro Keyboard,Logitech,10,Logitech Authorized Distribution,10,130,91,30.00%,411,118,49,3.9
46,Mouse,Logitech MX Master 3S,Logitech,10,Logitech Authorized Distribution,10,100,64,36.00%,132,42,36,3.9
47,Mouse,Apple Magic Mouse,Apple,1,Apple Distribution,1,79,58,26.58%,288,95,24,4.5
48,Mouse,ASUS ROG Gladius III,ASUS,6,ASUS Global Distribution,6,90,68,24.44%,74,36,41,4.8
49,Smartwatch,Apple Watch Series 11,Apple,1,Apple Distribution,1,399,243,39.10%,121,49,60,3.9
50,Smartwatch,Samsung Galaxy Watch 8,Samsung,2,Samsung Electronics Distribution,2,349,258,26.07%,30,8,34,4.6
